sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Combust III (dot),Fall Malefic,Lord of Crowns,Oracle,Stellar Explosion (pet)
293294,294364,Fall Malefic,33295.0,0,925588,3974870,161333,346718,193095
294714,295500,Combust III (dot),9233.0,0,934821,3974870,161333,346718,193095
295574,296106,Auto,0.0,0,934821,3974870,161333,346718,193095
294714,298500,Combust III (dot),9233.0,0,944054,3974870,161333,346718,193095
297914,298984,Fall Malefic,33295.0,0,944054,4008165,161333,346718,193095
298774,299306,Auto,0.0,0,944054,4008165,161333,346718,193095
300224,301294,Fall Malefic,33295.0,0,944054,4041460,161333,346718,193095
294714,301500,Combust III (dot),9233.0,0,953287,4041460,161333,346718,193095
303034,303566,Auto,0.0,0,953287,4041460,161333,346718,193095
302534,303604,Fall Malefic,33295.0,0,953287,4074755,161333,346718,193095
294714,304500,Combust III (dot),9233.0,0,962520,4074755,161333,346718,193095
304844,305914,Fall Malefic,33295.0,0,962520,4108050,161333,346718,193095
306234,306766,Auto,0.0,0,962520,4108050,161333,346718,193095
294714,307500,Combust III (dot),9233.0,0,971753,4108050,161333,346718,193095
307154,308224,Fall Malefic,33295.0,0,971753,4141345,161333,346718,193095
309274,309274,Stellar Explosion (pet),36627.0,0,971753,4141345,161333,346718,229722
309964,310496,Auto,0.0,0,971753,4141345,161333,346718,229722
294714,310500,Combust III (dot),9233.0,0,980986,4141345,161333,346718,229722
309464,310534,Fall Malefic,33295.0,0,980986,4174640,161333,346718,229722
311774,312844,Fall Malefic,33295.0,0,980986,4207935,161333,346718,229722
294714,313500,Combust III (dot),9233.0,0,990219,4207935,161333,346718,229722
313164,313696,Auto,0.0,0,990219,4207935,161333,346718,229722
314084,315154,Fall Malefic,33295.0,0,990219,4241230,161333,346718,229722
294714,316500,Combust III (dot),9233.0,0,999452,4241230,161333,346718,229722
316894,317426,Auto,0.0,0,999452,4241230,161333,346718,229722
316394,317464,Fall Malefic,33295.0,0,999452,4274525,161333,346718,229722
294714,319500,Combust III (dot),9233.0,0,1008685,4274525,161333,346718,229722
318704,319774,Fall Malefic,33295.0,0,1008685,4307820,161333,346718,229722
320094,320626,Auto,0.0,0,1008685,4307820,161333,346718,229722
321014,322084,Fall Malefic,33295.0,0,1008685,4341115,161333,346718,229722
294714,322500,Combust III (dot),9233.0,0,1017918,4341115,161333,346718,229722
323824,324356,Auto,0.0,0,1017918,4341115,161333,346718,229722
323324,324394,Fall Malefic,33295.0,0,1017918,4374410,161333,346718,229722
324744,325500,Combust III (dot),9233.0,0,1027151,4374410,161333,346718,229722
327024,327556,Auto,0.0,0,1027151,4374410,161333,346718,229722
324744,328500,Combust III (dot),9233.0,0,1036384,4374410,161333,346718,229722
327944,329014,Fall Malefic,33295.0,0,1036384,4407705,161333,346718,229722
330754,331286,Auto,0.0,0,1036384,4407705,161333,346718,229722
330254,331324,Fall Malefic,33295.0,0,1036384,4441000,161333,346718,229722
324744,331500,Combust III (dot),9233.0,0,1045617,4441000,161333,346718,229722
